FluideCellIndex,DonorCellIndex,DonorZoneId,WallPointX,WallPointY,ImagePointX,ImagePointY,NormalX,NormalY,DonorDistance,WallDistance
604,532,1,0.0140479,-0.0200105,0.00273843,-0.0369873,-0.554415,-0.83224,0.00823159,0.00922978
463,532,1,0.0140479,-0.0200105,0.00273843,-0.0369873,-0.554415,-0.83224,0.00823159,0.00922978
888,1013,1,0.265372,0.0597349,0.264996,0.0824824,-0.0165009,0.999864,0.00389433,0.0227507
890,1015,1,0.215447,0.0581805,0.214464,0.0793738,-0.0463583,0.998925,0.00720371,0.021216
700,700,1,0.90702,-0.0135976,0.90996,-0.0369873,0.124741,-0.992189,0.00310009,0.00127846
896,700,1,0.90702,-0.0135976,0.90996,-0.0369873,0.124741,-0.992189,0.00310009,0.00127846
547,547,1,0.858399,-0.0195339,0.86047,-0.0369873,0.117826,-0.993034,0.00292577,0.00725536
410,410,1,0.809664,-0.0251545,0.811101,-0.03798,0.111307,-0.993786,0.00303962,0.0129056
287,287,1,0.760825,-0.0304683,0.762739,-0.0486074,0.104925,-0.99448,0.0122343,0.0182398
178,131,1,0.711886,-0.0354729,0.714178,-0.0586166,0.0985284,-0.995134,0.0054934,0.0232569
178,90,1,0.68504,-0.0380787,0.687284,-0.0616455,0.094787,-0.995498,0.00234785,0.00109632
90,90,1,0.68504,-0.0380787,0.687284,-0.0616455,0.094787,-0.995498,0.00234785,0.00109632
997,997,1,0.660588,0.040363,0.662538,0.0616455,0.0912414,0.995829,0.00225928,0.00338987
999,999,1,0.611607,0.0446689,0.613033,0.0616455,0.0837059,0.996491,0.00207131,0.00770869
892,892,1,0.165559,0.0549129,0.164003,0.0728384,-0.0864643,0.996255,0.0116174,0.017993
894,894,1,0.116028,0.049323,0.114257,0.0616588,-0.142048,0.98986,0.00354045,0.0124621
884,1009,1,0.36495,0.0591397,0.36552,0.081292,0.0257289,0.999669,0.00513979,0.0221597
886,1011,1,0.315216,0.0599648,0.315369,0.0829423,0.0066393,0.999978,0.00337522,0.022978
880,880,1,0.464001,0.0550649,0.464988,0.0731425,0.054566,0.99851,0.0116655,0.0181046
882,1007,1,0.414547,0.0574564,0.415397,0.0779256,0.0415033,0.999138,0.008549,0.0204868
764,852,1,0.0676797,0.0403123,0.0625355,0.0616455,-0.234415,0.972137,0.00594592,0.00342025
852,852,1,0.0676797,0.0403123,0.0625355,0.0616455,-0.234415,0.972137,0.00594592,0.00342025
1001,1001,1,0.562523,0.0485919,0.563509,0.0616455,0.0753699,0.997156,0.00186379,0.0116377
1003,1003,1,0.513324,0.0520802,0.514318,0.067173,0.065753,0.997836,0.00587453,0.0151256
765,766,1,0.0140479,0.0200105,0.00273843,0.0369873,-0.554415,0.83224,0.00823159,0.00922978
682,766,1,0.0140479,0.0200105,0.00273843,0.0369873,-0.554415,0.83224,0.00823159,0.00922978
991,991,1,0.785258,0.0278495,0.786947,0.04337,0.108179,0.994131,0.00722135,0.0156121
876,876,1,0.760825,0.0304683,0.762739,0.0486074,0.104925,0.99448,0.0122343,0.0182398
878,996,1,0.68504,0.0380787,0.687284,0.0616455,0.094787,0.995498,0.00234785,0.00109632
996,996,1,0.68504,0.0380787,0.687284,0.0616455,0.094787,0.995498,0.00234785,0.00109632
998,998,1,0.636111,0.0425612,0.637791,0.0616455,0.0877057,0.996146,0.00217103,0.00559542
56,28,1,0.190494,-0.0567926,0.189216,-0.0765979,-0.0644076,-0.997924,0.0100369,0.0198465
89,89,1,0.165559,-0.0549129,0.164003,-0.0728384,-0.0864643,-0.996255,0.0116174,0.017993
23,23,1,0.488678,-0.0536405,0.489685,-0.0702938,0.0603746,-0.998176,0.00887982,0.0166837
22,22,1,0.464001,-0.0550649,0.464988,-0.0731425,0.054566,-0.99851,0.0116655,0.0181046
8,21,1,0.38977,-0.0583949,0.390502,-0.0798025,0.0341691,-0.999416,0.00666396,0.0214201
7,20,1,0.36495,-0.0591397,0.36552,-0.081292,0.0257289,-0.999669,0.00513979,0.0221597
0,6,1,0.29031,-0.0599965,0.290215,-0.0830057,-0.00412416,-0.999991,0.00330352,0.0230094
1,5,1,0.265372,-0.0597349,0.264996,-0.0824824,-0.0165009,-0.999864,0.00389433,0.0227507
1118,1118,1,0.882724,0.0166064,0.885213,0.0369873,0.12119,0.992629,0.00301051,0.00430908
1119,1119,1,0.858399,0.0195339,0.86047,0.0369873,0.117826,0.993034,0.00292577,0.00725536
1000,1000,1,0.587079,0.0466811,0.588275,0.0616455,0.0796808,0.99682,0.00197105,0.00972475
1002,1002,1,0.537938,0.0503942,0.538889,0.0638011,0.0707392,0.997495,0.00287448,0.0134406
881,1006,1,0.43929,0.0563414,0.440226,0.0756954,0.0482888,0.998833,0.0107721,0.0193767
879,879,1,0.488678,0.0536405,0.489685,0.0702938,0.0603746,0.998176,0.00887982,0.0166837
851,851,1,0.0915999,0.0453465,0.0885976,0.0616455,-0.181151,0.983455,0.00454202,0.00849984
891,1016,1,0.190494,0.0567926,0.189216,0.0765979,-0.0644076,0.997924,0.0100369,0.0198465
893,893,1,0.140724,0.0524609,0.138992,0.0679345,-0.111236,0.993794,0.00717988,0.0155702
883,1008,1,0.38977,0.0583949,0.390502,0.0798025,0.0341691,0.999416,0.00666396,0.0214201
885,1010,1,0.340098,0.0596706,0.340474,0.0823538,0.0165706,0.999863,0.00402082,0.0226864
19,37,1,0.43929,-0.0563414,0.440226,-0.0756954,0.0482888,-0.998833,0.0107721,0.0193767
18,36,1,0.414547,-0.0574564,0.415397,-0.0779256,0.0415033,-0.999138,0.008549,0.0204868
4,15,1,0.340098,-0.0596706,0.340474,-0.0823538,0.0165706,-0.999863,0.00402082,0.0226864
3,14,1,0.315216,-0.0599648,0.315369,-0.0829423,0.0066393,-0.999978,0.00337522,0.022978
11,2,1,0.240407,-0.0591436,0.239725,-0.0813,-0.0307562,-0.999527,0.0051862,0.0221668
29,10,1,0.215447,-0.0581805,0.214464,-0.0793738,-0.0463583,-0.998925,0.00720371,0.021216
128,128,1,0.140724,-0.0524609,0.138992,-0.0679345,-0.111236,-0.993794,0.00717988,0.0155702
171,171,1,0.116028,-0.049323,0.114257,-0.0616588,-0.142048,-0.98986,0.00354045,0.0124621
72,72,1,0.636111,-0.0425612,0.637791,-0.0616455,0.0877057,-0.996146,0.00217103,0.00559542
71,71,1,0.611607,-0.0446689,0.613033,-0.0616455,0.0837059,-0.996491,0.00207131,0.00770869
41,41,1,0.537938,-0.0503942,0.538889,-0.0638011,0.0707392,-0.997495,0.00287448,0.0134406
40,40,1,0.513324,-0.0520802,0.514318,-0.067173,0.065753,-0.997836,0.00587453,0.0151256
877,994,1,0.736367,0.0330098,0.738482,0.0536905,0.101707,0.994814,0.00900909,0.0207885
878,995,1,0.711886,0.0354729,0.714178,0.0586166,0.0985284,0.995134,0.0054934,0.0232569
764,854,1,0.036815,0.0311192,0.0298068,0.0499093,-0.349459,0.936952,0.0158426,0.0200545
1021,1153,1,0.90702,0.0135976,0.90996,0.0369873,0.124741,0.992189,0.00310009,0.00127846
1153,1153,1,0.90702,0.0135976,0.90996,0.0369873,0.124741,0.992189,0.00310009,0.00127846
1120,1120,1,0.834046,0.0223827,0.835731,0.0369873,0.114631,0.993408,0.00284535,0.0101204
992,992,1,0.809664,0.0251545,0.811101,0.03798,0.111307,0.993786,0.00303962,0.0129056
347,347,1,0.785258,-0.0278495,0.786947,-0.04337,0.108179,-0.994131,0.00722135,0.0156121
230,180,1,0.736367,-0.0330098,0.738482,-0.0536905,0.101707,-0.994814,0.00900909,0.0207885
75,75,1,0.660588,-0.040363,0.662538,-0.0616455,0.0912414,-0.995829,0.00225928,0.00338987
45,45,1,0.587079,-0.0466811,0.588275,-0.0616455,0.0796808,-0.99682,0.00197105,0.00972475
44,44,1,0.562523,-0.0485919,0.563509,-0.0616455,0.0753699,-0.997156,0.00186379,0.0116377
887,1012,1,0.29031,0.0599965,0.290215,0.0830057,-0.00412416,0.999991,0.00330352,0.0230094
889,1014,1,0.240407,0.0591436,0.239725,0.0813,-0.0307562,0.999527,0.0051862,0.0221668
222,222,1,0.0915999,-0.0453465,0.0885976,-0.0616455,-0.181151,-0.983455,0.00454202,0.00849984
398,277,1,0.0676797,-0.0403123,0.0625355,-0.0616455,-0.234415,-0.972137,0.00594592,0.00342025
277,277,1,0.0676797,-0.0403123,0.0625355,-0.0616455,-0.234415,-0.972137,0.00594592,0.00342025
398,397,1,0.036815,-0.0311192,0.0298068,-0.0499093,-0.349459,-0.936952,0.0158426,0.0200545
620,620,1,0.882724,-0.0166064,0.885213,-0.0369873,0.12119,-0.992629,0.00301051,0.00430908
477,477,1,0.834046,-0.0223827,0.835731,-0.0369873,0.114631,-0.993408,0.00284535,0.0101204